Number of Data Points,Classifier Name,Model Accuracy
10,<function naiveBayes at 0x7f536612a3a0>,50.0
10,<function logisticRegression at 0x7f536612a430>,50.0
10,<function decisionTree at 0x7f536612a4c0>,50.0
10,<function randomForest at 0x7f536612a550>,50.0
11,<function naiveBayes at 0x7f536612a3a0>,100.0
11,<function logisticRegression at 0x7f536612a430>,50.0
11,<function decisionTree at 0x7f536612a4c0>,100.0
11,<function randomForest at 0x7f536612a550>,100.0
12,<function naiveBayes at 0x7f536612a3a0>,100.0
12,<function logisticRegression at 0x7f536612a430>,50.0
12,<function decisionTree at 0x7f536612a4c0>,100.0
12,<function randomForest at 0x7f536612a550>,100.0
13,<function naiveBayes at 0x7f536612a3a0>,0.0
13,<function logisticRegression at 0x7f536612a430>,50.0
13,<function decisionTree at 0x7f536612a4c0>,0.0
13,<function randomForest at 0x7f536612a550>,0.0
14,<function naiveBayes at 0x7f536612a3a0>,0.0
14,<function logisticRegression at 0x7f536612a430>,66.67
14,<function decisionTree at 0x7f536612a4c0>,100.0
14,<function randomForest at 0x7f536612a550>,33.33
15,<function naiveBayes at 0x7f536612a3a0>,33.33
15,<function logisticRegression at 0x7f536612a430>,66.67
15,<function decisionTree at 0x7f536612a4c0>,100.0
15,<function randomForest at 0x7f536612a550>,100.0
16,<function naiveBayes at 0x7f536612a3a0>,33.33
16,<function logisticRegression at 0x7f536612a430>,33.33
16,<function decisionTree at 0x7f536612a4c0>,33.33
16,<function randomForest at 0x7f536612a550>,33.33
17,<function naiveBayes at 0x7f536612a3a0>,33.33
17,<function logisticRegression at 0x7f536612a430>,66.67
17,<function decisionTree at 0x7f536612a4c0>,100.0
17,<function randomForest at 0x7f536612a550>,33.33
18,<function naiveBayes at 0x7f536612a3a0>,66.67
18,<function logisticRegression at 0x7f536612a430>,66.67
18,<function decisionTree at 0x7f536612a4c0>,66.67
18,<function randomForest at 0x7f536612a550>,66.67
19,<function naiveBayes at 0x7f536612a3a0>,66.67
19,<function logisticRegression at 0x7f536612a430>,33.33
19,<function decisionTree at 0x7f536612a4c0>,33.33
19,<function randomForest at 0x7f536612a550>,66.67
20,<function naiveBayes at 0x7f536612a3a0>,33.33
20,<function logisticRegression at 0x7f536612a430>,66.67
20,<function decisionTree at 0x7f536612a4c0>,66.67
20,<function randomForest at 0x7f536612a550>,66.67
21,<function naiveBayes at 0x7f536612a3a0>,50.0
21,<function logisticRegression at 0x7f536612a430>,25.0
21,<function decisionTree at 0x7f536612a4c0>,0.0
21,<function randomForest at 0x7f536612a550>,25.0
22,<function naiveBayes at 0x7f536612a3a0>,25.0
22,<function logisticRegression at 0x7f536612a430>,75.0
22,<function decisionTree at 0x7f536612a4c0>,25.0
22,<function randomForest at 0x7f536612a550>,50.0
