Training Days,Prediction,Actual,Accurate
736.97,Rose,Rose,1
741.63,Fell,Fell,1
737.45,Rose,Fell,0
735.64,Rose,Fell,0
733.67,Rose,Fell,0
727.96,Rose,Fell,0
727.31,Rose,Rose,1
732.71,Fell,Rose,0
742.69,Fell,Fell,1
742.05,Rose,Rose,1
772.43,Fell,Fell,1
764.33,Rose,Fell,0
762.97,Rose,Fell,0
754.63,Rose,Rose,1
756.62,Fell,Rose,0
758.99,Fell,Rose,0
769.72,Fell,Rose,0
770.02,Fell,Fell,1
769.08,Rose,Rose,1
777.0,Fell,Stayed,0
777.0,Stayed,Rose,0
777.99,Fell,Fell,1
774.89,Rose,Rose,1
776.75,Fell,Fell,1
775.88,Rose,Rose,1
788.7,Fell,Fell,1
788.4,Rose,Rose,1
788.67,Fell,Rose,0
793.09,Fell,Rose,0
824.21,Fell,Rose,0
834.97,Fell,Rose,0
901.31,Fell,Fell,1
891.61,Rose,Rose,1
892.6,Fell,Rose,0
897.33,Fell,Rose,0
930.37,Fell,Fell,1
930.34,Rose,Rose,1
963.38,Fell,Fell,1
952.15,Rose,Rose,1
958.12,Fell,Rose,0
997.72,Fell,Rose,0
1015.97,Fell,Fell,1
1013.42,Rose,Rose,1
1126.76,Fell,Fell,1
994.67,Rose,Rose,1
999.65,Fell,Fell,1
896.83,Rose,Rose,1
908.14,Fell,Rose,0
910.49,Fell,Fell,1
906.05,Rose,Fell,0
785.22,Rose,Fell,0
780.92,Rose,Rose,1
826.29,Fell,Fell,1
817.91,Rose,Rose,1
819.55,Fell,Rose,0
830.5,Fell,Rose,0
903.84,Fell,Rose,0
906.6,Fell,Fell,1
895.798875,Rose,Fell,0
893.6210875,Rose,Rose,1
895.64,Fell,Rose,0
918.603625,Fell,Rose,0
922.0736125,Fell,Fell,1
919.97,Rose,Fell,0
893.045625,Rose,Rose,1
915.95625,Fell,Fell,1
915.05,Rose,Rose,1
920.31225,Fell,Fell,1
915.933,Rose,Fell,0
912.19,Rose,Rose,1
964.706075,Fell,Rose,0
979.703875,Fell,Rose,0
