,Date,USD,Gold,BTC,Total Net Worth
0,9/11/16,1000.0,0,0,1000.0
1,9/23/16,390.63000000000005,0,1,972.8284000000001
2,11/19/18,5851.62,0,0,5851.62
3,11/21/18,1086.2099999999996,0,1,5488.350399999999
4,11/23/18,5544.030000000001,0,0,5544.030000000001
5,11/25/18,1103.9900000000011,0,1,4851.031433660001
6,12/3/18,5188.1900000000005,0,0,5188.1900000000005
7,12/17/18,1851.5300000000007,0,1,5176.0869
8,12/21/18,5754.720000000001,0,0,5754.720000000001
9,12/22/18,1536.8300000000015,0,1,5369.583866340002
10,12/28/18,5308.080000000002,0,0,5308.080000000002
11,12/29/18,1489.3000000000015,0,1,5323.340116340001
12,2/8/19,4826.890000000002,0,0,4826.890000000002
13,5/30/19,943.4900000000023,3,0,4747.911500000003
14,6/10/19,4889.430000000003,0,0,4889.430000000003
15,7/2/19,677.4300000000028,3,0,4808.848500000003
16,9/30/19,5088.770000000002,0,0,5088.770000000002
17,10/2/19,624.2200000000018,3,0,5057.242000000001
18,12/20/19,5010.020000000002,0,0,5010.020000000002
19,2/12/20,251.40000000000225,3,0,4895.589000000003
20,2/27/20,5107.050000000002,0,0,5107.050000000002
21,3/1/20,229.2000000000018,3,0,4980.160500000003
22,3/10/20,5196.520000000001,0,0,5196.520000000001
23,3/20/20,668.4900000000015,3,0,5106.858000000002
24,3/24/20,5198.930000000001,0,0,5198.930000000001
25,4/9/20,106.56000000000138,3,0,5098.090500000002
26,4/14/20,5098.090000000001,0,0,5098.090000000001
27,4/21/20,1691.970000000001,2,0,5022.429000000001
28,4/23/20,5078.860000000001,0,0,5078.860000000001
29,5/1/20,1672.6400000000006,2,0,5011.415000000001
30,5/22/20,5105.070000000001,0,0,5105.070000000001
31,5/27/20,1630.1700000000005,2,0,4985.478000000001
32,6/2/20,5056.760000000001,0,0,5056.760000000001
33,6/5/20,1656.190000000001,2,0,4989.421000000001
34,6/12/20,5088.52,0,0,5088.52
35,6/15/20,1586.8500000000004,2,0,4973.541000000001
36,9/22/20,5367.360000000001,0,0,5367.360000000001
37,9/25/20,1610.7700000000004,2,0,5292.976000000001
38,10/6/20,5391.780000000001,0,0,5391.780000000001
39,12/16/20,1653.4700000000005,2,0,5320.331
40,12/17/20,5320.330000000001,0,0,5320.330000000001
41,4/20/21,1735.8400000000008,2,0,5255.983000000001
42,6/16/21,5428.740000000001,0,0,5428.740000000001
43,6/18/21,56.25000000000051,3,0,5322.357
44,8/4/21,5439.820000000001,0,0,5439.820000000001
45,8/7/21,1802.3000000000006,2,0,5292.842000000001
46,9/7/21,5409.07,0,0,5409.07
