,Date,USD,Gold,BTC,Total Net Worth
0,9/11/16,1000.0,0,0,1000.0
1,9/23/16,390.63000000000005,0,1,972.8284000000001
2,11/19/18,5851.62,0,0,5851.62
3,11/21/18,1086.2099999999996,0,1,5488.350399999999
4,11/23/18,5544.030000000001,0,0,5544.030000000001
5,11/25/18,1103.9900000000011,0,1,4851.031433660001
6,12/3/18,5188.1900000000005,0,0,5188.1900000000005
7,12/17/18,1851.5300000000007,0,1,5176.0869
8,12/21/18,5754.720000000001,0,0,5754.720000000001
9,12/22/18,1536.8300000000015,0,1,5369.583866340002
10,12/23/18,5369.580000000001,0,0,5369.580000000001
11,12/25/18,1294.5100000000007,0,1,5032.112400000001
12,12/28/18,5065.760000000001,0,0,5065.760000000001
13,12/29/18,1246.980000000001,0,1,5081.020116340001
14,12/30/18,5081.02,0,0,5081.02
15,1/1/19,1213.6400000000003,0,1,4890.866233660001
16,1/3/19,4992.400000000001,0,0,4992.400000000001
17,1/4/19,1049.2800000000004,0,1,4795.4541336600005
18,1/9/19,5000.89,0,0,5000.89
19,1/11/19,1112.0500000000002,0,1,4685.375
20,1/14/19,4639.89,0,0,4639.89
21,1/15/19,1037.2900000000002,0,1,4620.9393
22,2/8/19,4374.88,0,0,4374.88
23,2/9/19,390.87999999999994,3,0,4270.888
24,2/26/19,4344.099999999999,0,0,4344.099999999999
25,3/5/19,453.2299999999995,0,1,4109.590399999999
26,3/8/19,4252.539999999999,0,0,4252.539999999999
27,3/9/19,287.9799999999989,0,1,4086.420799999999
28,3/25/19,4219.659999999999,0,0,4219.659999999999
29,3/26/19,145.66999999999882,0,1,4002.8421999999987
30,3/28/19,4014.4599999999987,0,0,4014.4599999999987
31,5/7/19,132.41999999999877,3,0,3937.583999999999
32,3/18/20,4694.929999999999,0,0,4694.929999999999
33,3/25/20,1451.3099999999995,2,0,4630.101
34,3/26/20,4630.099999999999,0,0,4630.099999999999
35,3/28/20,1327.7999999999995,2,0,4530.053999999999
36,6/4/20,4704.389999999999,0,0,4704.389999999999
37,6/6/20,1270.2899999999995,2,0,4603.521
38,6/12/20,4702.619999999999,0,0,4702.619999999999
39,6/15/20,1200.949999999999,2,0,4587.641
40,9/22/20,4981.459999999999,0,0,4981.459999999999
41,9/25/20,1224.869999999999,2,0,4907.075999999999
42,10/6/20,5005.879999999999,0,0,5005.879999999999
43,10/7/20,1140.809999999999,2,0,4872.119999999999
44,10/12/20,4948.839999999999,0,0,4948.839999999999
45,10/13/20,1059.3299999999992,2,0,4804.103999999999
46,10/23/20,4828.5599999999995,0,0,4828.5599999999995
47,10/30/20,1027.2199999999996,2,0,4753.282999999999
48,11/3/20,4769.219999999999,0,0,4769.219999999999
49,11/4/20,914.4499999999995,2,0,4676.746999999999
50,11/7/20,4752.579999999999,0,0,4752.579999999999
51,11/12/20,993.4599999999989,2,0,4705.662999999999
52,12/3/20,4602.209999999999,0,0,4602.209999999999
53,12/5/20,900.8599999999993,2,0,4549.999999999999
54,1/7/21,4726.119999999999,0,0,4726.119999999999
55,1/12/21,994.6799999999989,2,0,4640.355
56,1/19/21,4624.119999999999,0,0,4624.119999999999
57,1/20/21,918.0299999999988,2,0,4594.097999999998
58,2/9/21,4551.829999999999,0,0,4551.829999999999
59,2/19/21,943.7099999999989,2,0,4480.385999999999
60,2/22/21,4480.3899999999985,0,0,4480.3899999999985
61,3/12/21,1036.6899999999987,2,0,4412.193999999999
62,3/16/21,4449.519999999999,0,0,4449.519999999999
63,3/31/21,1047.9399999999985,2,0,4396.218999999998
64,4/9/21,4495.519999999999,0,0,4495.519999999999
65,4/12/21,978.2999999999985,2,0,4409.342999999998
66,4/23/21,4506.259999999998,0,0,4506.259999999998
67,4/30/21,935.6099999999982,2,0,4435.556999999998
68,5/4/21,4435.559999999998,0,0,4435.559999999998
69,5/5/21,804.0999999999976,2,0,4332.954999999998
70,5/10/21,4440.4699999999975,0,0,4440.4699999999975
71,5/13/21,742.4599999999974,2,0,4349.623999999997
72,6/2/21,4503.169999999997,0,0,4503.169999999997
73,6/3/21,659.6099999999974,2,0,4355.378999999997
74,6/5/21,4355.379999999997,0,0,4355.379999999997
75,7/13/21,734.7299999999972,2,0,4326.152999999997
76,7/30/21,4349.709999999996,0,0,4349.709999999996
77,8/12/21,827.6399999999966,2,0,4287.491999999997
78,8/14/21,4287.489999999997,0,0,4287.489999999997
79,9/8/21,647.1499999999969,2,0,4183.429999999997
80,9/10/21,4200.459999999996,0,0,4200.459999999996
