Date,USD (PM),BTC Price,Delta(G),Delta(B),PE(G),PE(B)
9/12/16,1324.6,609.67,null,-1,null,-1
9/13/16,1323.65,610.92,-0.95,1.25,0,1
9/14/16,1321.75,608.82,-1.9,-2.1,0,0
9/15/16,1310.8,610.38,-10.95,1.56,0,1
9/16/16,1308.35,609.11,-2.45,-1.27,0,0
9/17/16,1314.85,607.04,6.5,-2.07,1,0
9/18/16,1314.85,611.58,0.0,4.54,1
9/19/16,1314.85,610.19,0.0,-1.39,0
9/20/16,1313.8,608.66,-1.05,-1.53,0,0
9/21/16,1326.1,598.88,12.3,-9.78,1,0
9/22/16,1339.1,597.42,13.0,-1.46,1,0
9/23/16,1338.65,594.08,-0.45,-3.34,0,0
9/24/16,1340.5,603.88,1.85,9.8,1,1
9/25/16,1340.5,601.74,0.0,-2.14,0
9/26/16,1340.5,598.98,0.0,-2.76,0
9/27/16,1327.0,605.96,-13.5,6.98,0,1
9/28/16,1322.5,605.67,-4.5,-0.29,0,0
9/29/16,1318.1,603.85,-4.4,-1.82,0,0
9/30/16,1322.5,609.39,4.4,5.54,1,1
10/1/16,1313.3,614.82,-9.2,5.43,0,1
10/2/16,1313.3,612.98,0.0,-1.84,0
10/3/16,1313.3,611.85,0.0,-1.13,0
10/4/16,1283.3,609.62,-30.0,-2.23,0,0
10/5/16,1269.4,607.18,-13.9,-2.44,0,0
10/6/16,1254.5,612.08,-14.9,4.9,0,1
10/7/16,1258.75,617.21,4.25,5.13,1,1
10/8/16,1259.5,614.74,0.75,-2.47,1,0
10/9/16,1259.5,615.65,0.0,0.91,1
10/10/16,1259.5,617.54,0.0,1.89,1
10/11/16,1253.45,614.77,-6.05,-2.77,0,0
10/12/16,1256.5,635.01,3.05,20.24,1,1
10/13/16,1261.05,635.96,4.55,0.95,1,1
10/14/16,1251.75,634.02,-9.3,-1.94,0,0
10/15/16,1254.8,637.94,3.05,3.92,1,1
10/16/16,1254.8,641.42,0.0,3.48,1
10/17/16,1254.8,638.97,0.0,-2.45,0
10/18/16,1258.2,636.29,3.4,-2.68,1,0
10/19/16,1269.05,629.25,10.85,-7.04,1,0
10/20/16,1271.65,627.72,2.6,-1.53,1,0
10/21/16,1266.05,631.92,-5.6,4.2,0,1
10/22/16,1265.55,655.48,-0.5,23.56,0,1
10/23/16,1265.55,653.25,0.0,-2.23,0
10/24/16,1265.55,651.39,0.0,-1.86,0
10/25/16,1269.4,655.31,3.85,3.92,1,1
10/26/16,1270.5,651.45,1.1,-3.86,1,0
10/27/16,1266.25,682.22,-4.25,30.77,0,1
10/28/16,1273.0,687.68,6.75,5.46,1,1
10/29/16,1272.0,685.91,-1.0,-1.77,0,0
10/30/16,1272.0,698.0,0.0,12.09,1
10/31/16,1272.0,702.0,0.0,4.0,1
