Training Days,Prediction,Actual,Accurate
1313.3,Rose,Stayed,0
1313.3,Rose,Fell,0
1283.3,Rose,Fell,0
1269.4,Rose,Fell,0
1254.5,Rose,Rose,1
1258.75,Rose,Rose,1
1259.5,Rose,Stayed,0
1259.5,Fell,Stayed,0
1259.5,Rose,Fell,0
1253.45,Rose,Rose,1
1256.5,Fell,Rose,0
1261.05,Fell,Fell,1
1251.75,Rose,Rose,1
1254.8,Rose,Stayed,0
1254.8,Fell,Stayed,0
1254.8,Fell,Rose,0
1258.2,Fell,Rose,0
1269.05,Fell,Rose,0
1271.65,Fell,Fell,1
1266.05,Rose,Fell,0
1265.55,Rose,Stayed,0
1265.55,Rose,Stayed,0
1265.55,Rose,Rose,1
1269.4,Fell,Rose,0
1270.5,Fell,Fell,1
1266.25,Rose,Rose,1
1273.0,Fell,Fell,1
1272.0,Fell,Stayed,0
1272.0,Fell,Stayed,0
1272.0,Fell,Rose,0
1288.45,Fell,Rose,0
1303.75,Fell,Fell,1
1301.0,Fell,Rose,0
1302.8,Fell,Fell,1
1283.05,Rose,Stayed,0
1283.05,Rose,Stayed,0
1283.05,Rose,Fell,0
1282.35,Rose,Fell,0
1281.4,Rose,Fell,0
1267.5,Rose,Fell,0
1236.45,Rose,Fell,0
1213.6,Rose,Stayed,0
1213.6,Rose,Stayed,0
1213.6,Rose,Rose,1
1226.95,Fell,Rose,0
1229.2,Fell,Fell,1
1226.75,Rose,Fell,0
1211.0,Rose,Rose,1
1214.25,Rose,Stayed,0
1214.25,Rose,Stayed,0
1214.25,Rose,Fell,0
1212.25,Rose,Fell,0
1185.35,Rose,Rose,1
1186.1,Rose,Rose,1
1187.7,Rose,Fell,0
1187.0,Rose,Stayed,0
1187.0,Rose,Stayed,0
1187.0,Rose,Fell,0
1186.55,Rose,Fell,0
1178.1,Rose,Fell,0
1161.85,Rose,Rose,1
1173.5,Fell,Fell,1
1162.2,Rose,Stayed,0
1162.2,Rose,Stayed,0
1162.2,Rose,Rose,1
1172.5,Fell,Rose,0
1177.65,Fell,Fell,1
1171.05,Rose,Fell,0
1163.6,Rose,Fell,0
1156.1,Rose,Stayed,0
1156.1,Rose,Stayed,0
1156.1,Rose,Rose,1
1158.55,Fell,Rose,0
1162.25,Fell,Fell,1
1126.95,Rose,Rose,1
1131.6,Rose,Rose,1
1136.25,Fell,Stayed,0
1136.25,Fell,Stayed,0
1136.25,Fell,Fell,1
1125.7,Rose,Rose,1
1133.65,Fell,Fell,1
1131.35,Rose,Stayed,0
1131.35,Rose,Rose,1
1134.6,Fell,Stayed,0
1134.6,Fell,Stayed,0
1134.6,Fell,Stayed,0
1134.6,Fell,Stayed,0
1134.6,Fell,Rose,0
1145.9,Fell,Stayed,0
1145.9,Fell,Rose,0
1151.0,Fell,Stayed,0
1151.0,Fell,Stayed,0
1151.0,Fell,Stayed,0
1151.0,Fell,Rose,0
1164.25,Fell,Rose,0
1176.7,Fell,Fell,1
1175.85,Fell,Rose,0
1178.5,Fell,Stayed,0
1178.5,Fell,Stayed,0
1178.5,Fell,Rose,0
1189.5,Fell,Fell,1
1178.55,Rose,Rose,1
1205.05,Fell,Fell,1
1190.35,Rose,Rose,1
1203.0,Fell,Stayed,0
1203.0,Fell,Stayed,0
1203.0,Fell,Rose,0
1216.05,Fell,Fell,1
1214.75,Fell,Fell,1
1196.05,Rose,Rose,1
1200.55,Rose,Rose,1
1212.85,Fell,Stayed,0
1212.85,Fell,Stayed,0
1212.85,Fell,Rose,0
1216.8,Fell,Fell,1
1195.0,Rose,Fell,0
1189.7,Rose,Fell,0
1184.85,Rose,Rose,1
1192.8,Fell,Stayed,0
1192.8,Fell,Stayed,0
1192.8,Fell,Rose,0
1212.8,Fell,Fell,1
1203.65,Rose,Rose,1
1221.95,Fell,Fell,1
1215.2,Rose,Rose,1
1226.75,Fell,Stayed,0
1226.75,Fell,Stayed,0
1226.75,Fell,Rose,0
1231.0,Fell,Rose,0
1242.1,Fell,Fell,1
1236.8,Rose,Fell,0
1228.3,Rose,Fell,0
1222.25,Rose,Stayed,0
1222.25,Rose,Stayed,0
1222.25,Rose,Rose,1
1230.75,Fell,Fell,1
1224.4,Rose,Rose,1
1240.55,Fell,Rose,0
1241.95,Fell,Fell,1
1237.3,Rose,Stayed,0
